Country Code,Pincode,Place,State,State Code,District,District Code,Sub-District,Sub-District Code,Latitude,Longitude,Accuracy
IN,110010,505 A B Workshop,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110010,A F Palam,Delhi,7,South West Delhi,97,,,28.5724,77.0274,3
IN,110038,A F Rajokari,Delhi,7,South West Delhi,97,,,28.5724,77.0274,1
IN,110002,A.G.C.R.,Delhi,7,Central Delhi,95,New Delhi,,28.6453,77.2456,3
IN,110055,A.K.Market,Delhi,7,Central Delhi,95,New Delhi,,28.6417,77.2132,3
IN,110098,AMPC Delivery,Delhi,7,New Delhi,94,New Delhi,,28.6109,77.214,1
IN,110025,Abul Fazal Enclave-I,Delhi,7,South Delhi,98,,,28.5672,77.2725,3
IN,110033,Adrash Nagar,Delhi,7,North West Delhi,90,Delhi,,28.716,77.1429,1
IN,110062,Air Force Station Tugalkabad,Delhi,7,South Delhi,98,New Delhi,,28.508,77.2294,3
IN,110002,Ajmeri Gate Extn.,Delhi,7,Central Delhi,95,New Delhi,,28.6453,77.2456,3
IN,110019,Alaknanda,Delhi,7,South Delhi,98,New Delhi,,28.5014,77.2274,1
IN,110076,Ali,Delhi,7,South Delhi,98,New Delhi,,28.5161,77.3099,4
IN,110003,Aliganj (South Delhi),Delhi,7,South Delhi,98,New Delhi,,28.5838,77.2218,4
IN,110036,Alipur,Delhi,7,North West Delhi,90,Delhi,,28.7986,77.1331,4
IN,110024,Amar Colony,Delhi,7,South Delhi,98,New Delhi,,28.5724,77.2365,3
IN,110075,Amberhai,Delhi,7,South West Delhi,97,New Delhi,,28.5458,77.0784,1
IN,110021,Anand Niketan,Delhi,7,South West Delhi,97,,,28.5818,77.1793,3
IN,110005,Anand Parbat,Delhi,7,Central Delhi,95,New Delhi,,28.6431,77.2197,4
IN,110005,Anand Parbat Indl. Area,Delhi,7,Central Delhi,95,New Delhi,,28.6551,77.1833,3
IN,110092,Anand Vihar,Delhi,7,East Delhi,93,,,28.6266,77.2794,3
IN,110034,Anandvas Shakurpur,Delhi,7,North West Delhi,90,Delhi,,28.716,77.1429,1
IN,110049,Andrewsganj,Delhi,7,South Delhi,98,New Delhi,,28.5014,77.2274,1
